-- THRESHOLDED --
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                      aten::to         0.01%      52.047us         0.02%      56.489us       0.843us           4 b           0 b            67  
     aten::adaptive_avg_pool2d         0.00%       5.230us         0.01%      50.404us      50.404us       5.00 Kb           0 b             1  
                    aten::mean         0.00%       6.188us         0.01%      45.174us      45.174us       5.00 Kb           0 b             1  
                   aten::alias         0.01%      28.444us         0.01%      28.444us       0.862us           0 b           0 b            33  
                     aten::sum         0.00%      15.086us         0.01%      19.697us      19.697us       5.00 Kb           0 b             1  
                    aten::div_         0.00%      10.045us         0.01%      19.289us      19.289us           0 b          -4 b             1  
                  aten::detach         0.00%      14.978us         0.00%      14.978us       0.441us           0 b           0 b            34  
                   aten::zeros         0.00%       6.242us         0.00%       9.675us       9.675us           4 b           0 b             1  
                       aten::t         0.00%       3.941us         0.00%       6.821us       6.821us           0 b           0 b             1  
                   aten::fill_         0.00%       3.093us         0.00%       3.093us       3.093us           0 b           0 b             1  
               aten::transpose         0.00%       1.863us         0.00%       2.880us       2.880us           0 b           0 b             1  
             aten::as_strided_         0.00%       1.965us         0.00%       1.965us       0.983us           0 b           0 b             2  
           aten::empty_strided         0.00%       1.493us         0.00%       1.493us       1.493us           4 b           4 b             1  
                 aten::dropout         0.00%       0.993us         0.00%       0.993us       0.993us           0 b           0 b             1  
                   aten::zero_         0.00%       0.874us         0.00%       0.874us       0.874us           0 b           0 b             1  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 364.007ms
