-- THRESHOLDED --
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
              aten::hardswish_         0.08%     198.596us         0.08%     198.596us       9.457us           0 b           0 b            21  
                     aten::mul         0.07%     161.843us         0.07%     184.776us      23.097us       2.28 Mb           0 b             8  
                   aten::relu_         0.02%      59.880us         0.07%     179.670us       9.456us           0 b           0 b            19  
              aten::is_nonzero         0.02%      49.978us         0.07%     162.783us       4.284us           0 b           0 b            38  
                    aten::div_         0.03%      82.438us         0.06%     159.410us      17.712us           0 b         -36 b             9  
              aten::threshold_         0.05%     119.790us         0.05%     119.790us       6.305us           0 b           0 b            19  
                    aten::item         0.02%      48.398us         0.05%     112.805us       2.969us           0 b           0 b            38  
                      aten::to         0.02%      58.374us         0.04%     101.290us       2.155us          36 b           0 b            47  
                    aten::add_         0.04%      91.544us         0.04%      91.544us       9.154us           0 b           0 b            10  
     aten::_local_scalar_dense         0.03%      64.407us         0.03%      64.407us       1.695us           0 b           0 b            38  
            aten::hardsigmoid_         0.01%      29.582us         0.01%      29.582us       3.698us           0 b           0 b             8  
                  aten::detach         0.01%      17.214us         0.01%      17.214us       0.374us           0 b           0 b            46  
                       aten::t         0.00%       8.801us         0.01%      15.581us       7.791us           0 b           0 b             2  
           aten::empty_strided         0.01%      13.479us         0.01%      13.479us       1.498us          36 b          36 b             9  
                   aten::zeros         0.00%       7.298us         0.00%      11.117us      11.117us           4 b           0 b             1  
               aten::transpose         0.00%       3.654us         0.00%       6.780us       3.390us           0 b           0 b             2  
                 aten::flatten         0.00%       2.529us         0.00%       5.646us       5.646us           0 b           0 b             1  
                  aten::expand         0.00%       3.293us         0.00%       4.409us       2.204us           0 b           0 b             2  
             aten::as_strided_         0.00%       4.253us         0.00%       4.253us       0.709us           0 b           0 b             6  
                   aten::zero_         0.00%       1.118us         0.00%       1.118us       1.118us           0 b           0 b             1  
                aten::dropout_         0.00%       0.803us         0.00%       0.803us       0.803us           0 b           0 b             1  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 248.057ms
