-- THRESHOLDED --
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        aten::sum         0.05%      13.465us         0.07%      18.401us      18.401us       2.00 Kb           0 b             1  
                     aten::detach         0.05%      13.618us         0.05%      13.618us       0.368us           0 b           0 b            37  
                      aten::zeros         0.03%       6.418us         0.04%      10.483us      10.483us           4 b           0 b             1  
              aten::empty_strided         0.04%       8.996us         0.04%       8.996us       1.285us          28 b          28 b             7  
                          aten::t         0.02%       4.876us         0.03%       8.931us       8.931us           0 b           0 b             1  
                    aten::flatten         0.01%       2.231us         0.03%       7.998us       7.998us           0 b           0 b             1  
                  aten::transpose         0.01%       2.719us         0.02%       4.055us       4.055us           0 b           0 b             1  
                     aten::expand         0.01%       2.930us         0.01%       3.429us       3.429us           0 b           0 b             1  
                aten::as_strided_         0.01%       3.305us         0.01%       3.305us       0.826us           0 b           0 b             4  
                      aten::fill_         0.01%       3.070us         0.01%       3.070us       3.070us           0 b           0 b             1  
                      aten::zero_         0.00%       1.213us         0.00%       1.213us       1.213us           0 b           0 b             1  
                    aten::dropout         0.00%       0.929us         0.00%       0.929us       0.929us           0 b           0 b             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 25.666ms
